time,data
35,-83.6967662097954
35.025,-83.6967670443054
35.05,-83.6967678852414
35.075,-83.6967687326882
35.1,-83.6967695867268
35.125,-83.6967704474371
35.15,-83.6967713148957
35.175,-83.6967721891773
35.2,-83.6967730703532
35.225,-83.6967739584934
35.25,-83.6967748536633
35.275,-83.6967757559283
35.3,-83.6967766653487
35.325,-83.6967775819854
35.35,-83.6967785058945
35.375,-83.6967794371323
35.4,-83.69678037575
35.425,-83.6967813217995
35.45,-83.6967822753266
35.475,-83.6967832363784
35.5,-83.6967842049971
35.525,-83.6967851812262
35.55,-83.6967861651052
35.575,-83.6967871566736
35.6,-83.6967881559649
35.625,-83.6967891630139
35.65,-83.696790177849
35.675,-83.6967912005011
35.7,-83.6967922309933
35.725,-83.6967932693525
35.75,-83.696794315599
35.775,-83.6967953697569
35.8,-83.6967964318423
35.825,-83.6967975018749
35.85,-83.6967985798749
35.875,-83.6967996658626
